Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2016-10-19 14:59:00	627.01	627.04	627.01	627.01	31.39	19680.88	627.03
2016-10-19 15:00:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-19 15:01:00	627.28	627.28	627.24	627.24	1.06	666.29	627.25
2016-10-19 15:02:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-19 15:03:00	627.26	627.26	626.53	626.53	26.22	16444.6	627.25
2016-10-19 15:04:00	627.29	627.33	627.29	627.33	1.28	805.69	627.3
2016-10-19 15:05:00	626.98	627.33	626.98	627	0.6	373.85	627.01
2016-10-19 15:06:00	627	627.5	627	627.02	2.83	1772.34	627.19
2016-10-19 15:07:00	627.02	627.35	626.05	627.35	0.4	253.05	626.97
2016-10-19 15:08:00	626.13	626.23	626.13	626.23	0.67	421.76	626.19
2016-10-19 15:09:00	626.52	626.52	626.42	626.42	28	17540.08	626.43
2016-10-19 15:10:00	626.56	626.58	626.56	626.58	8.04	5037.54	626.56
2016-10-19 15:11:00	627.43	627.43	627.43	627.43	0.03	18.82	627.43
2016-10-19 15:12:00	627.45	627.45	627.45	627.45	0.12	75.38	627.45
2016-10-19 15:13:00	627.45	627.5	626.81	627.5	1.21	757.21	627.42
2016-10-19 15:14:00	626.94	626.96	626.94	626.94	13.14	8240.42	626.94
2016-10-19 15:15:00	626.83	626.83	626.82	626.82	1.55	973.48	626.82
2016-10-19 15:16:00	626.57	626.57	626.57	626.57	0.49	307.11	626.57
2016-10-19 15:17:00	626.67	626.67	626.66	626.66	14	8773.37	626.67
2016-10-19 15:18:00	626.82	626.94	626.82	626.94	11.76	7370.33	626.85
2016-10-19 15:19:00	626.83	626.94	626.76	626.76	11.6	7274.14	626.84
2016-10-19 15:20:00	626.82	626.82	626.82	626.82	0.29	180.43	626.82
2016-10-19 15:21:00	626.82	626.83	626.82	626.83	1.04	649.09	626.83
2016-10-19 15:22:00	626.85	626.85	626.85	626.85	1.39	873.21	626.85
2016-10-19 15:23:00	626.54	626.54	626.54	626.54	0.16	99.56	626.54
2016-10-19 15:24:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-19 15:25:00	626.61	626.61	626.45	626.45	19	11905.22	626.59
2016-10-19 15:26:00	627.2	627.2	627.2	627.2	0.11	68.66	627.2
